ID      Имя             Фамилия         Специализация           Кабинет
0       Алексей         Иванов          рентгенолог             43
1       Дмитрий         Шилкин          педиатр                 100
2       Тимофей         Кузьмин         невролог                78
3       Павел           Дмитриев        терапевт                5
4       Алексей         Солощенко       хирург                  18
5       Виктор          Юськов          главврач                3
6       Михаил          Светиков        окулист                 13
7       Султан          Махов           зам._главврача          19
8       Александр       Тихонов         невролог                20
9       София           Ясинская        зубной_врач             4
